,letter,mode,name
0,Bb,major," Op. 1,  No. 1"
1,Eb,major," Op. 1,  No. 2"
2,D,major," Op. 1,  No. 3"
3,G,major," Op. 1,  No. 4"
4,Eb,major," Op. 1,  No. 0"
5,Bb,major," Op. 1,  No. 5"
6,C,major," Op. 1,  No. 6"
7,A,major," Op. 2,  No. 1"
8,E,major," Op. 2,  No. 2"
9,Eb,major," Op. 2,  No. 3"
10,F,major," Op. 2,  No. 4"
11,D,major," Op. 2,  No. 5"
12,Bb,major," Op. 2,  No. 6"
13,E,major," Op. 3,  No. 1"
14,C,major," Op. 3,  No. 2"
15,G,major," Op. 3,  No. 3"
16,Bb,major," Op. 3,  No. 4"
17,F,major," Op. 3,  No. 5"
18,A,major," Op. 3,  No. 6"
19,D,minor," Op. 9,  No. 4"
20,C,major," Op. 9,  No. 1"
21,G,major," Op. 9,  No. 3"
22,Eb,major," Op. 9,  No. 2"
23,Bb,major," Op. 9,  No. 5"
24,A,major," Op. 9,  No. 6"
25,F,major," Op. 17,  No. 2"
26,E,major," Op. 17,  No. 1"
27,C,minor," Op. 17,  No. 4"
28,D,major," Op. 17,  No. 6"
29,Eb,major," Op. 17,  No. 3"
30,G,major," Op. 17,  No. 5"
31,F,minor," Op. 20,  No. 5"
32,A,major," Op. 20,  No. 6"
33,C,major," Op. 20,  No. 2"
34,G,minor," Op. 20,  No. 3"
35,D,major," Op. 20,  No. 4"
36,Eb,major," Op. 20,  No. 1"
37,G,major," Op. 33,  No. 5"
38,Eb,major," Op. 33,  No. 2"
39,B,minor," Op. 33,  No. 1"
40,C,major," Op. 33,  No. 3"
41,D,major," Op. 33,  No. 6"
42,Bb,major," Op. 33,  No. 4"
43,D,minor, Op. 42
44,Bb,major," Op. 50,  No. 1"
45,C,major," Op. 50,  No. 2"
46,Eb,major," Op. 50,  No. 3"
47,F#,minor," Op. 50,  No. 4"
48,F,major," Op. 50,  No. 5"
49,D,major," Op. 50,  No. 6"
50,C,major," Op. 54,  No. 2"
51,G,major," Op. 54,  No. 1"
52,E,major," Op. 54,  No. 3"
53,A,major," Op. 55,  No. 1"
54,F,minor," Op. 55,  No. 2"
55,Bb,major," Op. 55,  No. 3"
56,C,major," Op. 64,  No. 1"
57,B,minor," Op. 64,  No. 2"
58,Bb,major," Op. 64,  No. 3"
59,G,major," Op. 64,  No. 4"
60,Eb,major," Op. 64,  No. 6"
61,D,major," Op. 64,  No. 5"
62,Bb,major," Op. 71,  No. 1"
63,D,major," Op. 71,  No. 2"
64,Eb,major," Op. 71,  No. 3"
65,C,major," Op. 74,  No. 1"
66,F,major," Op. 74,  No. 2"
67,G,minor," Op. 74,  No. 3"
68,G,major," Op. 76,  No. 1"
69,D,minor," Op. 76,  No. 2"
70,C,major," Op. 76,  No. 3"
71,Bb,major," Op. 76,  No. 4"
72,D,major," Op. 76,  No. 5"
73,Eb,major," Op. 76,  No. 6"
74,G,major," Op. 77,  No. 1"
75,F,major," Op. 77,  No. 2"
76,D,minor, Op. 103
